# Tile ids are PPU pattern slots (the game DMAs each tile's art there).
# Pure tilemap: trees are just tiles (solid), painted directly into the map like grass/water/path --
# the retro-console way (background tiles are always opaque; no transparency, no object system here).
# Indices 8/9/10 are the artist's placement markers for player/slime/ninja -- unused by any current
# map (no pixels paint them), kept mapped to their underlying terrain so the PNG still parses if used.
# Player/slime/npc positions now come from each map's .map.txt descriptor (tools/map_set.py), not
# from these markers or from hardcoded constants in examples/arena.txt.
#
# Tile ids shifted +64 (16->80 etc.) for the map system's pattern-slot split (PPU_SPRITE_SLOTS=80 in
# lib/map.lib): slots 0..79 are reserved for sprites (hero/enemy/npc), so terrain now lives at 80+.
# Shared by every map in assets/maps/ (map_set.py validates they all use this one legend).
#
# Flag bits: the tool just ORs named bits into a byte; what a bit MEANS is the code's call --
# bit 0 = solid (lib/map.lib's map_solid_at tests it).
flags solid=0
0 80          # Çimen (Yürünebilir zemin)
1 84 solid    # Ağaç 1 (solid)
2 85 solid    # Ağaç 2 (solid)
3 86 solid    # Ağaç 3 (solid)
4 87 solid    # Ağaç 4 (solid)
5 82          # Toprak Patika (Yürünebilir)
6 83 solid    # Nehir / Su (Geçilemez)
7 81          # Bridge (walkable, over water)
8 80          # (oyuncu işareti -> çimen)
9 82          # (slime işareti -> toprak patika)
10 80         # (ninja işareti -> çimen)
